month,type,units_central,units_p10,units_p90,value_gbp,net_mass_kg,estimator,confidence,import_units_central
2019-11-01,T4,1249.1315200000001,851.680581818182,1873.69728,761177.2350000001,93684.86399999999,prior_allocation,0.4000000000000001,1277.8766
2019-11-01,T5,-11.580833333333333,-5.955857142857143,-17.371249999999996,-98072.325,-2084.55,vpk_threshold,0.8037540201209008,4.9075
2019-11-01,T6,105.86549999999997,52.932749999999984,220.553125,321063.60000000015,26466.375000000004,vpk_threshold,0.8139916515201248,486.24420000000003
2019-11-01,T7,2452.7750000000005,1576.783928571428,3679.1625,4873764.674999999,220749.75,cn_rule,0.8999999999999999,3649.3058333333333
2019-11-01,UNALLOCATED,0.0,0.0,0.0,-5953737.074999999,-612357.525,vpk_threshold,0.0,0.0
2019-12-01,EDGE_AIRCRAFT,0.0,0.0,0.0,5134057.499999999,3463.199999999999,vpk_threshold,0.9000000000000001,0.0
2019-12-01,EDGE_MONITOR,0.0,0.0,0.0,1258814.6999999997,211240.57499999998,cn_rule,1.0,0.0
2019-12-01,SATELLITE,0.0,0.0,0.0,3542775.5999999996,347699.625,value_index_only,1.0,0.0
2019-12-01,T1,44768.900892857135,35815.12071428572,56978.601136363635,4113217.875,1253529.2249999999,vpk_threshold,0.8540133234106302,52054.971428571436
2019-12-01,T2,5551.65,3532.8681818181813,7772.31,415225.1999999999,194307.74999999997,cn_rule,0.9000000000000001,8167.157142857142
2019-12-01,T3,4219.8316875,3000.7691999999997,5626.44225,1227994.56,135034.614,prior_allocation,0.39999999999999997,4403.9750625
2019-12-01,T4,700.1794800000001,477.3951,1050.2692200000001,477553.44000000006,52513.46100000001,prior_allocation,0.3999999999999999,730.73364
2019-12-01,T5,-27.25125,-14.014928571428571,-40.876875,-189089.55000000002,-4905.225,vpk_threshold,0.8245350718287855,0.5741666666666666
2019-12-01,T6,172.9338,86.4669,360.27875,735038.85,43233.45,vpk_threshold,0.7771536483719558,324.3825
2019-12-01,T7,2354.5816666666665,1513.6596428571427,3531.8725,4588217.4,211912.35000000003,cn_rule,0.9,2941.4449999999997
2019-12-01,UNALLOCATED,0.0,0.0,0.0,-3593398.5749999993,-381080.69999999995,vpk_threshold,0.0,0.0
2020-01-01,EDGE_AIRCRAFT,0.0,0.0,0.0,-13623.674999999406,885.3000000000001,vpk_threshold,0.9,0.0
2020-01-01,EDGE_MONITOR,0.0,0.0,0.0,-1862982.224999999,-169333.125,cn_rule,1.0,0.0
2020-01-01,SATELLITE,0.0,0.0,0.0,3309087.6,307330.72500000003,value_index_only,1.0,0.0
2020-01-01,T1,6078.533035714287,4862.826428571429,7736.31477272727,18747.299999999857,170198.92499999996,vpk_threshold,0.8118991068316881,13701.29196428571
2020-01-01,T2,2141.2949999999996,1362.6422727272727,2997.8129999999996,28428.075000000063,74945.32499999997,cn_rule,0.9,4606.847142857143
2020-01-01,T3,4195.195874999999,2983.2504,5593.594499999999,1209574.08,134246.26799999998,prior_allocation,0.4,4199.1885
2020-01-01,T4,696.09176,474.6080181818182,1044.1376400000001,470389.92000000004,52206.882000000005,prior_allocation,0.4,696.75424
2020-01-01,T5,-21.975416666666664,-11.301642857142856,-32.963125000000005,15846.675000000003,-3955.575,vpk_threshold,0.7343092896613094,10.985000000000001
2020-01-01,T6,580.6476000000001,290.32380000000006,1209.6825,2136610.1249999995,145161.90000000002,vpk_threshold,0.7253864792237705,849.8295
2020-01-01,T7,2829.71,1819.099285714286,4244.565,5178039.75,254673.9,cn_rule,0.8999999999999999,3586.3641666666663
2020-01-01,UNALLOCATED,0.0,0.0,0.0,-5652237.825,-663176.4749999999,vpk_threshold,0.0,0.0
2020-02-01,EDGE_AIRCRAFT,0.0,0.0,0.0,-547495.6499999998,-76.04999999999984,vpk_threshold,0.8999999999999999,0.0
2020-02-01,EDGE_MONITOR,0.0,0.0,0.0,65328.900000000096,-4115.475000000011,cn_rule,1.0,0.0
2020-02-01,SATELLITE,0.0,0.0,0.0,5945069.324999999,451496.175,value_index_only,1.0,0.0
2020-02-01,T1,-7930.963392857142,-6344.770714285713,-10093.953409090906,-1466644.7249999996,-222066.97499999995,vpk_threshold,0.685851039215612,1298.7696428571428
2020-02-01,T2,3107.7428571428572,1977.654545454545,4350.839999999999,360372.67500000005,108770.99999999999,cn_rule,0.9,4364.1
2020-02-01,T3,4159.4158125,2957.8068000000003,5545.88775,1134126.63,133101.306,prior_allocation,0.4000000000000001,4284.56925
2020-02-01,T4,690.15492,470.56017272727274,1035.23238,441049.245,51761.619000000006,prior_allocation,0.39999999999999997,710.92112
2020-02-01,T5,-144.56541666666664,-74.34792857142858,-216.84812499999995,-1600780.35,-26021.774999999998,vpk_threshold,0.8729719288423713,2.9412499999999997
2020-02-01,T6,26.80470000000004,13.40235000000002,55.84312499999996,-755374.4250000004,6701.174999999988,vpk_threshold,0.8135239983914099,563.0001
2020-02-01,T7,3026.7033333333334,1945.7378571428571,4540.055,5284239.675,272403.3,cn_rule,0.9,3793.768333333333
2020-02-01,UNALLOCATED,0.0,0.0,0.0,-5071576.575,-552626.0999999999,vpk_threshold,0.0,0.0
2020-03-01,EDGE_AIRCRAFT,0.0,0.0,0.0,-1455875.85,230.10000000000014,vpk_threshold,0.9,0.0
2020-03-01,EDGE_MONITOR,0.0,0.0,0.0,4500848.625000001,273169.65,cn_rule,1.0,0.0
2020-03-01,SATELLITE,0.0,0.0,0.0,8728870.799999999,756854.4750000001,value_index_only,1.0,0.0
2020-03-01,T1,17706.591964285715,14165.273571428572,22535.662499999995,1690377.9749999999,495784.57499999995,vpk_threshold,0.8243283212610252,22211.892857142855
2020-03-01,T2,863.8221428571427,549.7049999999999,1209.351,-215911.80000000005,30233.775000000005,cn_rule,0.9,2212.1914285714283
2020-03-01,T3,8345.683125,5934.708,11127.5775,2643901.182,267061.86,prior_allocation,0.4,8345.683125
2020-03-01,T4,1384.7652,944.158090909091,2077.1478,1028183.7930000002,103857.39,prior_allocation,0.4,1384.7652
2020-03-01,T5,-5.02125,-2.5823571428571426,-7.531874999999999,61830.60000000001,-903.825,vpk_threshold,0.7985006800511676,6.646249999999999
2020-03-01,T6,479.76629999999994,239.88314999999997,999.5131250000001,1799571.1499999997,119941.57500000001,vpk_threshold,0.7632513645452619,662.9180999999999
2020-03-01,T7,3660.691666666667,2353.301785714286,5491.0375,5611542.300000002,329462.25,cn_rule,0.9000000000000001,4212.26
2020-03-01,UNALLOCATED,0.0,0.0,0.0,-2387779.8749999995,-245076.97500000006,vpk_threshold,0.0,0.0
2020-04-01,EDGE_AIRCRAFT,0.0,0.0,0.0,-34450.65000000014,444.6,vpk_threshold,0.8999999999999999,0.0
2020-04-01,EDGE_MONITOR,0.0,0.0,0.0,7714433.025,660570.3,cn_rule,1.0,0.0
2020-04-01,SATELLITE,0.0,0.0,0.0,4986506.850000001,-684218.9249999999,value_index_only,1.0,0.0
2020-04-01,T1,24121.77857142857,19297.422857142858,30700.445454545454,3037726.575,675409.8,vpk_threshold,0.8139467193107217,27009.03214285714
2020-04-01,T2,7065.295714285714,4496.097272727272,9891.413999999999,143598.97499999995,247285.34999999998,cn_rule,0.9,9583.163571428571
2020-04-01,T3,7456.534312499999,5302.4244,9942.04575,2200331.25,238609.09799999997,prior_allocation,0.39999999999999997,7458.245437499999
2020-04-01,T4,1237.23236,843.5675181818181,1855.8485400000004,855684.3750000001,92792.42700000001,prior_allocation,0.4,1237.5162799999998
